volume,entropy,css,risk
2.0,0.620877605883142,0.0,0
34.0,0.6688557602219123,5.3191156e-06,0
296.0,0.9676921033099746,0.00022336426,0
619.0,1.6417344548439157,0.00032738587,0
615.0,1.61843364794473,0.00015937528,0
404.0,1.2770288995957566,0.0011839048,0
442.0,1.2811849662707222,0.00072241406,0
466.0,1.2979420407706899,0.00042763082,0
507.0,1.3054318562800942,0.00046628554,0
635.0,1.299473224202802,0.00047775396,1
694.0,1.3178453915744155,0.0005816297,1
739.0,1.32815053399388,0.0006657637,1
767.0,1.3469719237039568,0.00040792194,1
793.0,1.3432362489951866,0.0002804984,1
824.0,1.3415207853769877,0.00028557095,1
617.0,1.607695546931676,0.00016907025,0
842.0,1.3565741108924494,0.0003091982,1
854.0,1.369307657764713,0.0003620353,1
865.0,1.3625367561877342,0.00037672068,1
885.0,1.3439263824030276,0.000398534,1
